,userId,movieId,rating,timestamp
0,1,1,4.0,964982703
1,1,3,4.0,964981247
2,1,6,4.0,964982224
3,1,47,5.0,964983815
4,1,50,5.0,964982931
5,1,70,3.0,964982400
6,1,101,5.0,964980868
7,1,151,5.0,964984041
8,1,157,5.0,964984100
9,1,163,5.0,964983650
10,1,216,5.0,964981208
11,1,223,3.0,964980985
12,1,235,4.0,964980908
13,1,260,5.0,964981680
14,1,316,3.0,964982310
15,1,333,5.0,964981179
16,1,349,4.0,964982563
17,1,356,4.0,964980962
18,1,362,5.0,964982588
19,1,500,3.0,964981208
20,1,527,5.0,964984002
21,1,552,4.0,964982653
22,1,553,5.0,964984153
23,1,590,4.0,964982546
24,1,592,4.0,964982271
25,1,593,4.0,964983793
26,1,596,5.0,964982838
27,1,608,5.0,964982931
28,1,648,3.0,964982563
29,1,661,5.0,964982838
30,1,733,4.0,964982400
31,1,736,3.0,964982653
32,1,780,3.0,964984086
33,1,804,4.0,964980499
34,1,919,5.0,964982475
35,1,940,5.0,964982176
36,1,943,4.0,964983614
37,1,954,5.0,964983219
38,1,1023,5.0,964982681
39,1,1025,5.0,964982791
40,1,1032,5.0,964982791
41,1,1049,5.0,964982400
42,1,1060,4.0,964980924
43,1,1080,5.0,964981327
44,1,1089,5.0,964982951
45,1,1092,5.0,964983484
46,1,1097,5.0,964981680
47,1,1127,4.0,964982513
48,1,1196,5.0,964981827
49,1,1197,5.0,964981872
50,1,1198,5.0,964981827
51,1,1208,4.0,964983250
52,1,1210,5.0,964980499
53,1,1213,5.0,964982951
54,1,1214,4.0,964981855
55,1,1219,2.0,964983393
56,1,1220,5.0,964981909
57,1,1222,5.0,964981909
58,1,1224,5.0,964984018
59,1,1226,5.0,964983618
60,1,1240,5.0,964983723
61,1,1256,5.0,964981442
62,1,1258,3.0,964983414
63,1,1265,4.0,964983599
64,1,1275,5.0,964982290
65,1,1278,5.0,964983414
66,1,1282,5.0,964982703
67,1,1298,5.0,964984086
68,1,1348,4.0,964983393
69,1,1377,3.0,964982653
70,1,1396,3.0,964983017
71,1,1408,3.0,964982310
72,1,1445,3.0,964984112
73,1,1473,4.0,964980875
74,1,1500,4.0,964980985
75,1,1517,5.0,964981107
76,1,1552,4.0,964982620
77,1,1573,5.0,964982290
78,1,1587,5.0,964982346
79,1,1620,4.0,964983056
80,1,1625,5.0,964983504
81,1,1644,3.0,964983536
82,1,1676,3.0,964982620
83,1,1732,5.0,964981125
84,1,1793,4.0,964981404
85,1,1804,5.0,964983034
86,1,1805,4.0,964983056
87,1,1920,4.0,964981780
88,1,1927,5.0,964981497
89,1,1954,5.0,964982176
90,1,2000,4.0,964982211
91,1,2005,5.0,964981710
92,1,2012,4.0,964984176
93,1,2018,5.0,964980523
94,1,2028,4.0,964981888
95,1,2033,5.0,964982903
96,1,2046,4.0,964982563
97,1,2048,5.0,964982791
98,1,2054,4.0,964981747
99,1,2058,5.0,964982400
100,1,2090,5.0,964982838
101,1,2096,4.0,964982838
102,1,2099,4.0,964982588
103,1,2105,4.0,964981725
104,1,2115,5.0,964982529
105,1,2116,5.0,964982876
106,1,2137,5.0,964982791
107,1,2139,5.0,964982791
108,1,2141,5.0,964982838
109,1,2143,4.0,964981725
110,1,2161,5.0,964981710
111,1,2193,4.0,964981710
112,1,2253,2.0,964981775
113,1,2268,4.0,964982989
114,1,2329,5.0,964983263
115,1,2353,5.0,964983861
116,1,2366,4.0,964982462
117,1,2387,5.0,964983123
118,1,2389,2.0,964983094
119,1,2395,5.0,964981093
120,1,2406,4.0,964982310
121,1,2414,3.0,964982513
122,1,2427,5.0,964982242
123,1,2450,4.0,964982620
124,1,2459,5.0,964983414
125,1,2470,5.0,964982588
126,1,2492,4.0,965719662
127,1,2502,5.0,964981278
128,1,2528,3.0,964982328
129,1,2529,5.0,964982242
130,1,2542,5.0,964981265
131,1,2571,5.0,964981888
132,1,2580,5.0,964983000
