Feature_1,Feature_2,Feature_3,Feature_4,Feature_5,Feature_6,Feature_7,Feature_8,Feature_9,Feature_10,Feature_11,Feature_12,Feature_13,Feature_14,Feature_15,Feature_16,Feature_17,Feature_18,Feature_19,Feature_20,Label,original_label,Point_ID
0.19216804917920438,-0.06214933826320945,0.3407067730854423,0.6725712019434091,0.02285782111033674,-0.3151631321889554,0.5147409836335624,0.19932552501961331,-0.07318567171070822,-0.017374911139191207,-0.015939407903941216,-0.09989294817191308,0.12443761961733046,-0.8810430738405273,-0.6600257461902742,-0.2985123788243187,-0.3558785400461931,-0.015350639054813264,-0.403075302782647,-0.4778805808145776,3.0,3.0,0
0.5777109986498834,-0.09190766023588859,0.14069810421669948,-0.6183679238800327,-0.09106664669476316,-0.1794567743196558,-0.4523916935490735,0.01349697301719277,-0.1289111868966859,-0.3215016856159423,-0.07669652410025707,0.7432354955900666,0.005476100995185362,-0.5245921776574715,0.30783897275479455,-0.526222979922477,0.12900144368394728,-0.8330671470978054,-0.5509390981752336,0.09759896570118354,2.0,2.0,1
0.2883623044062271,0.043140749395877975,0.0775485173901731,-0.1262831686883905,-0.4341074285708145,-0.5061839653250688,-0.2078443604576934,0.3367448850843151,0.27225898708876617,-0.8578802313475095,0.3300487609041747,-0.07055906306452986,-0.3034653160786973,0.17091496470892076,0.38703772191294505,0.21792225185097047,-0.28697281663924357,-0.23955107968411382,0.033055917954923464,0.3760767290782856,0.0,0.0,2
-0.1961418350863422,-0.07826582542079397,-0.26398797699727916,-0.5182812687220862,0.407226258753159,0.31030650177347296,-0.07017877331469924,0.31132365952379093,0.2799138715471565,-0.45034294676771525,0.3464415957053135,0.6289364709692276,-0.0049219061455105795,0.5679442477332988,-1.0,0.18010247975358284,0.08065352601267795,-0.23588128168910139,-0.05123008077727964,-0.6836104947608239,3.0,3.0,3
-0.09288481467060006,0.10630281218984927,0.6269178232169794,-0.2213882807079326,-0.18805518526737441,-0.4204137986364951,0.27959648357910716,-0.008773281011666523,-0.09879826717352991,-0.02805351663039657,0.230313688143158,0.42183181639869693,-0.3151682791673387,-0.22043617538731208,-0.15364759857360522,-0.6101320431504914,0.16363286022876355,-0.03447887336016309,-0.08172308678874485,-0.05669827638824998,0.0,0.0,4
-0.5686581592928759,-0.15817257422302866,-0.0007319382347958925,-0.3457652890095537,0.049616764902436605,-0.06417415164635765,0.6234813715280159,-0.08190862859734582,0.23569280361905087,-0.24230410383798295,-0.6553477093445168,0.059862932605010855,0.039809244684969824,0.9423221260778647,-0.07775708487639021,0.00017797065985347693,0.032328504532485036,-0.5486209000167761,0.31866065654841425,0.2961071847972676,0.0,0.0,5
0.3092782736767794,-0.3243685912301799,0.6010273978884149,-0.6083404414624906,0.32435469994759125,0.6383900498891535,-0.3955522354099267,-0.43335853223524756,0.16860896843196893,-0.39870666564172086,-0.4936198752294978,0.09444521141287421,-0.482928575581542,0.11338588541339756,-0.35399228730723653,0.43183589547238044,-0.2647611012074269,-0.2441717197834654,0.20277112221823868,-0.4129931025151077,3.0,3.0,6
0.0850307214199233,0.4293591277103863,-0.43675745247987363,0.08643895775085086,0.2042810412619045,0.0843974927318818,-0.4828406562419001,-0.79110966821722,0.34802012122076076,-0.10689928114391067,0.2977165669010411,0.19552033786975676,-0.3049101808802879,0.012838324565004777,0.10667501294587978,-0.3510918909276459,0.7866149439905328,0.042037446709063175,-0.50276726231376,0.26199700352754585,0.0,0.0,7
-0.39330621937839105,0.2525141463437013,0.5168405610786955,-0.35382552885502316,0.46262250329647303,-0.06074075578275795,0.24653156303501111,0.7350603774096691,0.022017996198866907,-0.48993900088864073,-0.20314463778479563,-0.22722765172395176,-0.024143021400848008,0.058207984218237474,0.10045107726515723,0.18192841607564403,0.051265640923158884,0.3943447858033513,-0.17666089999742485,1.0000000000000002,0.0,0.0,8
0.2434790398618183,-0.3066078939005993,-0.25176928153174205,0.21687328505689485,0.026783689853604464,0.05772404478119686,0.12296666573752613,-0.19927121495921196,-0.23349082741339156,-0.7674016311257003,-0.008513203491925081,0.38100453570928394,0.11145989753811492,-0.6029291333230049,0.06112427854577995,0.02914334653113948,-0.30469000900077203,-0.07307554646758874,-0.0630377525008039,-0.38155989837435156,2.0,2.0,9
